IPBES_region;IPBES_sub-region;IPBES_countries;KNMI_website_country_names;
Africa;East_Africa_and_adjacent_islands;Comoros;Comoros;
;;Djibouti;Djibouti;
;;Eritrea;Eritrea;
;;Ethiopia;Ethiopia;
;;Kenya;Kenya;
;;Madagascar;Madagascar;
;;Mauritius;Mauritius;
;;Mayotte;France_Mayotte;
;;Reunion;France_Reunion;
;;Rwanda;Rwanda;
;;Seychelles;Seychelles;
;;Somalia;Somalia;
;;South_Sudan;S._Sudan;
;;Uganda;Uganda;
;;United_Republic_of_Tanzania;Tanzania;
;;;Somaliland;
;;;;
;Southern_Africa;Angola;Angola;
;;Botswana;Botswana;
;;Lasotho;Lesotho;
;;Malawi;Malawi;
;;Mozambique;Mozambique;
;;Namibia;Namibia;
;;South_Africa;South_Africa;
;;Swaziland;Swaziland;
;;Zambia;Zambia;
;;Zimbabwe;Zimbabwe;
;;;;
;Central_Africa;Burundi;Burundi;
;;Cameroon;Cameroon;
;;Central_African_Republic;Central_African_Rep.;
;;Chad;Chad;
;;Congo;Congo_(Brazzaville);
;;Democratic_Republic_of_the_Congo;Congo_(Kinshasa);
;;Equatorial_Guinea;Eq._Guinea;
;;Gabon;Gabon;
;;Sao_Tome_and_Principe;Sao_Tome_and_Principe;
;;;;
;North_Africa;Algeria;Algeria;
;;Egypt;Egypt;
;;Libya;Libya;
;;Mauritania;Mauritania;
;;Morocco;Morocco;
;;Sudan;Sudan;
;;Tunisia;Tunisia;
;;Western_Sahara;W._Sahara;
;;;;
;West_Africa;Benin;Benin;
;;Burkina_Faso;Burkina_Faso;
;;Cabo_Verde;Cape_Verde;
;;C™te_d'Ivoire;Ivory_Coast;
;;Gambia;Gambia;
;;Ghana;Ghana;
;;Guinea;Guinea;
;;Guinea-Bissau;Guinea_Bissau;
;;Liberia;Liberia;
;;Mali;Mali;
;;Niger;Niger;
;;Nigeria;Nigeria;
;;Senegal;Senegal;
;;Sierra_Leone;Sierra_Leone;
;;Togo;Togo;
;;;;
Americas;North_America;Canada;Canada;
;;United_States_of_America;United_States_contiguous;
;;;;
;Mesoamerica;Belize;Belize;
;;Costa_Rica;Costa_Rica;
;;El_Salvador;El_Salvador;
;;Guatemala;Guatemala;
;;Honduras;Honduras;
;;Mexico;Mexico;
;;Nicaragua;Nicaragua;
;;Panama;Panama;
;;;;
;Caribbean;Antigua_and_Barbuda;Antigua_and_Barb.;
;;Bahamas;Bahamas;
;;Barbados;Barbados;
;;Cuba;Cuba;
;;Dominica;Dominica;
;;Dominican_Republic;Dominican_Rep.;
;;Grenada;Grenada;
;;Haiti;Haiti;
;;Jamaica;Jamaica;
;;Saint_Kitts_and_Nevis;St._Kitts_and_Nevis;
;;;Anguilla;
;;Saint_Lucia;Saint_Lucia;
;;Saint_Vincent_and_the_Grenadines;St._Vin._and_Gren.;
;;Trinidad_and_Tobago;Trinidad_and_Tobago;
;;;British_Virgin_Is.;
;;;Cayman_Is.;
;;;Curacao;
;;;France_Martinique;
;;;France_Guadeloupe;
;;;Netherlands_Bonaire;
;;;Netherlands_Saba_St_Eustasius;
;;;Puerto_Rico;
;;;Sint_Maarten;
;;;U.S._Virgin_Is.;
;;;Montserrat;
;;;St._Barthelemy;
;;;St._Martin;
;;;Turks_and_Caicos_Is.;
;;;;
;South_America;Argentina;Argentina;
;;Bolivia;Bolivia;
;;Brazil;Brazil;
;;Chile;Chile;
;;Colombia;Colombia;
;;Ecuador;Ecuador;
;;Guyana;Guyana;
;;Paraguay;Paraguay;
;;Peru;Peru;
;;Suriname;Suriname;
;;Uruguay;Uruguay;
;;Venezuela;Venezuela;
;;;Aruba;
;;;France_Guiana;
;;;;
Asia;Oceania;Australia;Australia;
;;Fiji;Fiji;
;;Kiribati;Kiribati;
;;Marshall_Islands;Marshall_Is.;
;;Micronesia;Micronesia;
;;Nauru;Nauru;
;;New_Zealand;New_Zealand;
;;Palau;Palau;
;;Papua_New_Guinea;Papua_New_Guinea;
;;Samoa;Samoa;
;;Solomon_Islands;Solomon_Is.;
;;Tonga;Tonga;
;;Tuvalu;;
;;Vanuatu;Vanuatu;
;;Pacific_islands_territories_of_Cook_Islands;Cook_Is.;
;;New_Caledonia;New_Caledonia;
;;American_Samoa;American_Samoa;
;;Tokelau;;
;;French_Polynesia;Fr._Polynesia;
;;Niue;Niue;
;;Guam;Guam;
