# Northern Territory
133.02671 -10.91274
133.04159 -10.90745

132.82036 -10.97517
132.82761 -10.99068

132.58733 -10.98711
132.58056 -11.0015
132.58268 -11.02375
132.58532 -11.04334
132.59014 -11.06463
132.59811 -11.07679
132.59902 -11.09919
132.60314 -11.12015
132.61267 -11.13069
132.60433 -11.1425
132.58367 -11.14401
132.58007 -11.1615
132.58659 -11.1763
132.60333 -11.1709
132.61961 -11.17477
132.62989 -11.18548
132.61207 -11.18892
132.6033 -11.20224
132.60655 -11.22021
132.61569 -11.23162
132.61717 -11.25115
132.61979 -11.2721
132.61341 -11.28652
132.60479 -11.29925
132.59776 -11.31334
132.59295 -11.32935
132.5919 -11.35006
132.5841 -11.3366
132.5691 -11.33046
132.56085 -11.31819
132.55355 -11.30404
132.54966 -11.28454
132.54586 -11.26624
132.54112 -11.24906
132.5305 -11.23906
132.52011 -11.22585
132.51139 -11.21184
132.50115 -11.2014
132.49452 -11.18752
132.48663 -11.17423
132.47866 -11.16082
132.49398 -11.15537
132.50537 -11.14559
132.51159 -11.13057
132.50878 -11.11217
132.51304 -11.09589
132.50624 -11.08233
132.48843 -11.07909
132.4792 -11.0665
132.46937 -11.05475
132.46279 -11.04001
132.48028 -11.04384
132.49386 -11.0529
132.51388 -11.05382
132.52642 -11.04509
132.54824 -11.04169
132.5588 -11.03212
132.56155 -11.0123
132.55683 -10.99687
132.56547 -10.98246
132.57875 -10.97503
132.59487 -10.97012

132.81851 -11.02445
132.82303 -11.00871

136.74716 -11.02065
136.73814 -11.00855
136.75635 -11.00497

136.75871 -11.02133
136.7663 -11.03431
136.75786 -11.04814
136.7515 -11.06597
136.74808 -11.08459
136.74158 -11.09868
136.73558 -11.11417
136.73376 -11.13365
136.72571 -11.14607
136.72003 -11.16107
136.71512 -11.17672
136.72054 -11.1916
136.70889 -11.20051
136.70035 -11.21314
136.68211 -11.21525
136.66987 -11.22379
136.67881 -11.24017
136.66903 -11.25102
136.66159 -11.26489
136.64784 -11.27278
136.63662 -11.28298
136.62869 -11.29789
136.62344 -11.31327
136.62129 -11.33135
136.6082 -11.33874
136.60012 -11.35066
136.59417 -11.36773
136.58882 -11.38343
136.57501 -11.39067
136.5624 -11.39881
136.55673 -11.41501
136.54589 -11.42472
136.53865 -11.43827
136.52511 -11.44512
136.51843 -11.43176
136.50375 -11.44165
136.49783 -11.45674
136.48143 -11.45238
136.48838 -11.4384
136.49823 -11.42658
136.50315 -11.41133
136.498 -11.39528
136.51576 -11.39304
136.52548 -11.38133
136.53283 -11.36794
136.54835 -11.36244
136.55244 -11.34495
136.56922 -11.33949
136.58123 -11.32391
136.58168 -11.30308
136.5872 -11.28776
136.59518 -11.27133
136.60565 -11.25479
136.61558 -11.24421
136.62489 -11.22881
136.62347 -11.21016
136.64424 -11.20982
136.65162 -11.19557
136.66167 -11.18445
136.67191 -11.19736
136.68901 -11.19205
136.69608 -11.17856
136.70673 -11.16868
136.70224 -11.1526
136.70334 -11.13318
136.69443 -11.12173
136.71289 -11.12395
136.72217 -11.11197
136.715 -11.09774
136.73044 -11.08985
136.73726 -11.07435
136.72696 -11.06036
136.7216 -11.04471
136.73602 -11.05098
136.74121 -11.03581

133.00119 -11.05915
133.01436 -11.06848
133.008 -11.08276
132.99068 -11.07868
132.98645 -11.06201
132.97858 -11.04975

132.86935 -11.06115
132.85336 -11.05572
132.86411 -11.04414

130.33219 -11.12437
130.32421 -11.10846

137.99467 -16.53868
137.99491 -16.99851
137.99518 -17.49851
137.99543 -17.99851
137.99569 -18.49851
137.99596 -18.99851
137.99597 -19.01883
137.99601 -19.10216
137.99604 -19.18549
137.99608 -19.26882
137.99612 -19.35215
137.99616 -19.43548
137.99619 -19.49851
137.9962 -19.51881
137.99624 -19.60214
137.99627 -19.68547
137.99631 -19.7688
137.99635 -19.85213
137.99638 -19.92306
137.99643 -19.99851
137.99648 -20.08972
137.99655 -20.17305
137.9966 -20.25638
137.99665 -20.33971
137.9967 -20.42304
137.99674 -20.49851
137.9968 -20.5897
137.99685 -20.67303
137.9969 -20.75636
137.99695 -20.83969
137.997 -20.92302
137.99705 -20.99851
137.9971 -21.08968
137.99715 -21.17301
137.9972 -21.25634
137.99725 -21.33967
137.9973 -21.423
137.99736 -21.49851
137.99742 -21.58966
137.99747 -21.67299
137.99752 -21.75632
137.99757 -21.83965
137.99762 -21.92298
137.99766 -21.99851
137.99772 -22.0852
137.99777 -22.16853
137.99782 -22.25186
137.99787 -22.33519
137.99792 -22.41852
137.99796 -22.49591
137.99801 -22.57924
137.99807 -22.66257
137.99812 -22.7459
137.99817 -22.82923
137.99822 -22.91256
137.99827 -22.99589
137.99829 -23.0832
137.99831 -23.16654
137.99833 -23.24987
137.99835 -23.3332
137.99837 -23.41653
137.9984 -23.49851
137.99842 -23.58319
137.99844 -23.66652
137.99847 -23.74985
137.99849 -23.83318
137.99851 -23.91651
137.99853 -23.99851
137.99855 -24.08317
137.99857 -24.1665
137.9986 -24.24983
137.99862 -24.33315
137.99864 -24.41648
137.99866 -24.49851
137.99868 -24.58314
137.9987 -24.66647
137.99872 -24.7498
137.99875 -24.83313
137.99878 -24.91646
137.9988 -24.99851
137.99882 -25.08312
137.99884 -25.16645
137.99886 -25.24978
137.99888 -25.33311
137.9989 -25.41645
137.99892 -25.49851
137.99894 -25.58311
137.99897 -25.66644
137.99899 -25.74977
137.99902 -25.8331
137.99904 -25.91643
137.99906 -25.99687
137.91586 -25.99694
137.83253 -25.99701
137.7492 -25.99708
137.66587 -25.99714
137.58254 -25.99721
137.50126 -25.99729
137.41588 -25.99736
137.33255 -25.99743
137.24922 -25.9975
137.1659 -25.99756
137.08257 -25.99763
137.00127 -25.9977
136.91591 -25.99777
136.83258 -25.99784
136.74925 -25.99791
136.66592 -25.99798
136.58259 -25.99804
136.50127 -25.99811
136.41593 -25.99818
136.3326 -25.99826
136.24927 -25.99833
136.16595 -25.99839
136.08262 -25.99846
136.00174 -25.99853
135.96709 -25.99854
135.93495 -25.99855
135.90281 -25.99854
135.87067 -25.99854
135.83851 -25.99855
135.80637 -25.99854
135.77422 -25.99854
135.74208 -25.99854
135.71122 -25.99854
135.67776 -25.99854
135.64563 -25.99854
135.6135 -25.99853
135.58132 -25.99852
135.55722 -25.99853
135.5331 -25.99854
135.50128 -25.99855
135.46916 -25.99854
135.43663 -25.99854
135.4045 -25.99854
135.37233 -25.99854
135.3402 -25.99853
135.31074 -25.99853
135.27592 -25.99854
135.24377 -25.99855
135.21429 -25.99854
135.17947 -25.99854
135.14733 -25.99854
135.11519 -25.99854
135.08305 -25.99853
135.05741 -25.99854
135.03484 -25.99854
135.00268 -25.99854
134.97053 -25.99854
134.93838 -25.99855
134.90623 -25.99854
134.87406 -25.99854
134.84191 -25.99854
134.80976 -25.99854
134.77762 -25.99854
134.74547 -25.99854
134.71332 -25.99854
