# Congo (Brazzaville)
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
18.6103166 3.47844432
18.62215051 3.30403636
18.54711633 3.08702119
18.49094404 2.92439545
18.34345951 2.65541962
18.21158125 2.41491751
18.07220991 2.01326244
18.07283003 1.71937857
18.05779219 1.53486787
18.01174849 1.42210989
17.90245283 1.1180716
17.88576135 0.85689891
17.92524214 0.53728018
17.88772505 0.23414623
17.77310672 -0.05239959
17.72411747 -0.27755381
17.75284956 -0.54906178
17.54283654 -0.77499114
17.27876997 -0.99957692
17.10761763 -1.06448252
16.97470584 -1.13993011
16.87993127 -1.22591969
16.84908044 -1.27248016
16.7800924 -1.37640146
16.62247928 -1.69896575
16.54072717 -1.84014577
16.43360192 -1.96086191
16.27392175 -2.1082431
16.21537235 -2.17779957
16.19154951 -2.27913706
16.20183312 -2.46470713
16.21733605 -3.030254
16.19061934 -3.19443003
16.14674605 -3.46412933
15.9900631 -3.76617807
15.87244754 -3.93428151
15.75462528 -3.98554453
15.60006107 -4.03091644
15.52600874 -4.08796722
15.48094689 -4.17178639
15.39464725 -4.24496022
15.26721317 -4.30759205
15.10629276 -4.46107106
14.91209273 -4.70560394
14.7792843 -4.84575042
14.70786747 -4.88171722
14.63397017 -4.88507619
14.5575924 -4.85577565
14.49392704 -4.85164153
14.46162927 -4.86497405
14.44090702 -4.854122
14.41072798 -4.83128102
14.41186486 -4.77500538
14.40292484 -4.68167775
14.36540775 -4.58550791
14.40995283 -4.50814829
14.44979536 -4.44949554
14.44276737 -4.41900644
14.40292484 -4.3697588
14.35832808 -4.29942718
14.31616011 -4.30412973
14.22701826 -4.35807993
14.13384566 -4.40004119
14.04682254 -4.41750783
13.97845462 -4.46122609
13.94093753 -4.48468719
13.88233646 -4.48468719
13.84947025 -4.45890065
13.77800174 -4.43388926
13.73903771 -4.44251922
13.71707523 -4.45445648
13.70761844 -4.54328826
13.69940189 -4.61837412
13.6853459 -4.68870574
13.65955936 -4.72152028
13.55165897 -4.75671193
13.47838179 -4.80497772
13.41492313 -4.83737884
13.37580407 -4.82942067
13.29730757 -4.76518686
13.21958622 -4.70581064
13.17648807 -4.65589121
13.15235518 -4.62033782
13.13664554 -4.60426645
13.0873979 -4.60194101
13.0727218 -4.63480722
13.04807214 -4.61920094
12.97138431 -4.5517632
12.88105391 -4.44515472
12.84813602 -4.42892832
12.79821659 -4.43053029
12.7194617 -4.4697527
12.64168867 -4.5311443
12.50149051 -4.58752329
12.38459842 -4.61909759
12.37405643 -4.65775156
12.34666792 -4.7241041
12.3079106 -4.7655486
12.20435103 -4.77862274
12.16709232 -4.8376889
12.07753706 -4.95210052
12.01831587 -5.00429372
12.00270959 -4.98207285
11.96674279 -4.95437428
11.8932589 -4.86569752
11.82070519 -4.75542002
11.80127486 -4.70519052
11.78081099 -4.67656178
11.7775037 -4.56587086
11.66805301 -4.43430267
11.39385786 -4.20031178
11.3644023 -4.1305486
11.13015303 -3.91629811
11.18999434 -3.76199228
11.23448775 -3.69078216
11.28833459 -3.64106943
11.50434208 -3.52035329
11.53679487 -3.52495249
11.68572635 -3.68199717
11.7334237 -3.69450286
11.78644372 -3.69026539
11.84912723 -3.69672495
11.87992639 -3.6659258
11.88478397 -3.62541147
11.83941206 -3.58003956
11.83290083 -3.53141204
11.86473351 -3.47859873
11.88276859 -3.42020436
11.92932905 -3.35100962
11.93418664 -3.31855682
11.88509403 -3.28315846
11.78437666 -3.22910491
11.71538862 -3.17691172
11.68903364 -3.12699228
11.70805057 -3.06312021
11.76344771 -3.01123707
11.76014042 -2.9831251
11.71135786 -2.93651295
11.67570112 -2.8866452
11.63911421 -2.85538095
11.5378284 -2.83667409
11.55715539 -2.76959808
11.59451745 -2.67099944
11.60345747 -2.5954485
11.57524214 -2.39706268
11.57772261 -2.36094085
11.60542118 -2.34259572
11.6658826 -2.3645582
11.72675744 -2.39473724
11.89243208 -2.35143239
11.95030969 -2.3448178
11.99826542 -2.38285166
12.06441125 -2.41261728
12.44640344 -2.32993499
12.45384484 -2.24559905
12.47570397 -2.16922129
12.47854618 -2.11201548
12.46262984 -2.07527353
12.44371626 -2.04757497
12.4324508 -1.99031748
12.43214074 -1.92892588
12.46867598 -1.89998707
12.59047733 -1.82681325
12.62840783 -1.82960377
12.71367394 -1.8694463
12.79351403 -1.93181976
12.86446577 -2.06323292
12.91355838 -2.17624928
12.99200321 -2.31334686
13.15860803 -2.36910573
13.35735558 -2.40481414
