# Congo (Kinshasa)
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
27.40331994 5.1091975
27.43923506 5.03922761
27.49101485 4.9675524
27.66418257 4.84600943
27.71926965 4.77833914
27.76143762 4.70322744
27.78810265 4.64467805
27.84163944 4.59775585
27.91662194 4.56793854
27.98070072 4.53210094
28.01981978 4.47939098
28.07862756 4.42479483
28.192109 4.35022573
28.24729943 4.34854625
28.31101647 4.3380301
28.36724043 4.31867727
28.42754683 4.32415497
28.52480187 4.37286001
28.63952355 4.45450878
28.72706343 4.50499665
28.93935021 4.48706493
29.05737918 4.44593049
29.15143029 4.38820791
29.22491418 4.39187694
29.38485274 4.4984079
29.46965376 4.61181184
29.55207767 4.63604808
29.67687626 4.58690379
29.77986738 4.48096711
29.87024946 4.32712637
29.93401818 4.2685253
30.02135135 4.17765229
30.19488081 3.9819278
30.42070682 3.88389761
30.50829837 3.83570934
30.53692712 3.78718517
30.55351525 3.72292552
30.55935469 3.6528006
30.58669152 3.6241977
30.64766971 3.63414541
30.69991459 3.64409313
30.75717207 3.6241977
30.79696292 3.57316722
30.81691003 3.53335053
30.83856245 3.49071747
30.89530318 3.46366486
30.90646528 3.40893952
30.86760461 3.34214773
30.82781376 3.28259064
30.77923791 3.16337311
30.75396813 3.04180431
30.78647261 3.00134166
30.82140588 2.96757111
30.83995772 2.93351634
30.85075809 2.89367381
30.84662398 2.84701
30.76952274 2.67797639
30.72993859 2.5302593
30.72859501 2.45538015
30.83008752 2.40042227
30.96196577 2.40329031
31.00361698 2.36936473
31.04537153 2.31554373
31.08216515 2.28810354
31.13756229 2.28887869
31.17631961 2.27006847
31.19135746 2.23226716
31.23636763 2.19133942
31.27398807 2.14627757
31.25610803 2.08850332
31.25269738 2.04457836
31.1588013 1.92200186
30.94253543 1.68279165
30.47817101 1.23904613
30.47786096 1.23883942
30.32107466 1.18530264
30.24014937 1.10277538
30.18289188 0.97348094
30.0473446 0.8635135
29.94290653 0.81922679
29.93169274 0.79287181
29.92378625 0.67391267
29.93448327 0.49903962
29.88544234 0.41894115
29.81464562 0.26360179
29.777852 0.16634675
29.74968835 0.14722647
29.71770064 0.09834056
29.69780521 -0.06020273
29.68431766 -0.11358449
29.63315799 -0.44167816
29.6478341 -0.5352125
29.60824995 -0.69127532
29.6063896 -0.78310434
29.59005985 -0.887129
29.56194787 -0.97735605
29.56401493 -1.12142995
29.57998294 -1.35676442
29.57693403 -1.38787363
29.5377633 -1.40973276
29.46800012 -1.46807545
29.40195764 -1.50740122
29.35162479 -1.5175298
29.26811568 -1.62160613
29.19659549 -1.71994638
29.14326542 -1.81606455
29.12936445 -1.8602479
29.14062992 -1.98452972
29.14801965 -2.13185923
29.13153487 -2.19516286
29.1064718 -2.23324839
28.98957971 -2.31277842
28.91273685 -2.37029428
28.87640832 -2.40031829
28.85764977 -2.44667205
28.89144616 -2.55555429
28.89397831 -2.63508432
28.92178023 -2.6820582
29.01438439 -2.72019541
29.01412601 -2.75828094
29.01660648 -2.79962208
29.06471724 -2.85078175
29.15318729 -2.9552715
29.22439741 -3.0535084
29.22605106 -3.13872283
29.21230513 -3.28129811
29.21008304 -3.36330861
29.21716271 -3.47570485
29.2167493 -3.68494272
29.21184004 -3.83382252
29.22326053 -3.91087208
29.33136763 -4.09540862
29.37916833 -4.29973724
29.40319787 -4.44928883
29.40417972 -4.49667612
29.36754113 -4.66881032
29.32568322 -4.83562184
29.32340946 -4.89887379
29.34273644 -4.98310638
29.42009606 -5.17616953
29.47647505 -5.31662607
29.50365685 -5.40096201
29.5423625 -5.49976735
29.59419396 -5.65076588
29.60700972 -5.72269948
29.59636437 -5.7759262
29.49078942 -5.96542368
29.4800924 -6.02500661
29.506189 -6.17207773
29.54076053 -6.31382619
29.59062829 -6.39438974
29.70963911 -6.61690846
29.79810917 -6.69189096
29.9618201 -6.80315032
30.10630741 -6.91508148
30.1618079 -6.97306243
30.21270918 -7.03791636
30.31321984 -7.20369435
30.37450809 -7.33862151
30.40675418 -7.46062957
30.48561242 -7.62718271
30.5588896 -7.78190195
30.65381921 -7.97093434
30.72084354 -8.10441456
30.75112593 -8.19360809
30.57790653 -8.22001474
30.32748254 -8.25820363
30.05137536 -8.30026824
29.76622481 -8.3437798
29.48376143 -8.38687794
29.21561242 -8.42780568
28.97221642 -8.46496103
28.89811242 -8.4854249
28.93449263 -8.59027638
28.91780114 -8.70060556
28.86953535 -8.78587168
28.79351932 -8.89098154
28.75874108 -8.93263274
28.68127811 -9.01469492
28.61647586 -9.07226247
28.48428755 -9.16941416
28.40067508 -9.22475962
28.40015832 -9.27504079
28.54051151 -9.5100652
28.60422855 -9.67878875
28.63011844 -9.8312859
28.62887821 -9.91872243
28.62350386 -10.09886647
28.61714766 -10.31296193
28.60738081 -10.39740122
28.64551802 -10.55020843
28.63890344 -10.66927093
28.54423221 -10.80238942
28.51798058 -10.93318247
28.47028324 -11.10960581
28.40418908 -11.35439707
28.35726688 -11.48296803
28.38336348 -11.56673553
28.40697961 -11.62280446
28.4317843 -11.6983554
28.48253055 -11.81209523
28.54154504 -11.87917124
28.57461795 -11.90811004
28.7694381 -12.05130543
28.85005334 -12.12050018
28.97340498 -12.25785613
29.0643555 -12.34885833
29.19122114 -12.3702007
29.3437183 -12.40477223
29.42753747 -12.43128224
29.4855701 -12.41841481
29.50489709 -12.38616872
29.50226159 -12.31759409
29.49202966 -12.26689951
29.5081527 -12.22819386
29.55972578 -12.20240732
29.69196577 -12.19832488
29.74963667 -12.16401173
29.79516361 -12.15548512
29.79531864 -12.3061736
29.79547367 -12.45060923
29.7956287 -12.62589568
29.7958354 -12.82702036
29.79604211 -12.99212656
29.79624881 -13.16751637
29.79645552 -13.36967457
29.79531864 -13.39272226
29.77516483 -13.43809417
29.72266157 -13.45380381
29.65176151 -13.41432301
29.64762739 -13.37298187
29.63026411 -13.2985678
29.5971912 -13.26053395
29.5541964 -13.24895843
29.48143599 -13.26797536
29.38180383 -13.32285573
29.25369795 -13.37081146
29.20186649 -13.39835499
29.11163944 -13.39515106
29.01422936 -13.36884775
28.94229577 -13.30714609
28.92172855 -13.2145936
28.85878666 -13.11945729
28.77315881 -12.98189463
28.73006066 -12.92546396
28.6729582 -12.86133351
28.61539066 -12.85404713
28.5508468 -12.83616709
28.51126265 -12.74221933
28.47436568 -12.62336354
28.45147302 -12.57747487
28.41287072 -12.51804697
28.35768029 -12.48197682
28.2372742 -12.43453786
28.06886071 -12.36818532
27.85745243 -12.28488291
27.75689009 -12.28085215
27.64428714 -12.26679616
27.57385217 -12.2270053
27.5334412 -12.19532765
27.48703576 -12.07972747
27.42368045 -11.94454192
27.23805871 -11.78351816
27.19640751 -11.60502776
27.1591488 -11.57924122
27.09538008 -11.5937623
27.04608076 -11.61593149
27.02665042 -11.66373219
26.97683434 -11.8246526
26.94954919 -11.89885996
26.930894 -11.9193755
26.89048303 -11.9435084
26.82407881 -11.9652125
26.72971764 -11.9759612
26.59639245 -11.97203379
26.42973596 -11.94784922
26.33966393 -11.92991749
26.09642297 -11.90320078
26.02593631 -11.89017832
25.92651086 -11.85529673
25.85488732 -11.82010508
25.61882938 -11.7441924
25.51185917 -11.7533908
25.45997603 -11.69980234
25.41336389 -11.67349904
25.34938846 -11.62301116
25.32065637 -11.55350636
25.28262251 -11.4049883
25.29182092 -11.32550994
25.31931278 -11.23688486
25.28877201 -11.21244191
25.24598392 -11.21244191
25.1848507 -11.24298268
25.07602014 -11.2600359
24.87685917 -11.29915496
24.80637251 -11.32116912
24.72813439 -11.33775726
24.66829308 -11.35295013
24.51853478 -11.4385263
24.46654829 -11.44767303
24.37792321 -11.41713226
24.33513513 -11.37129526
24.37792321 -11.31930877
24.39626834 -11.25517832
24.36572757 -11.12986297
24.31989058 -11.07177866
24.1871855 -11.0300241
24.13649092 -11.02594166
24.11509688 -10.95566172
24.07840661 -10.89147959
24.00275231 -10.87912892
23.96647546 -10.87179087
23.92869999 -10.89147959
23.90730594 -10.9434144
23.90115645 -10.98315358
23.83392541 -11.01369435
23.69641442 -11.00759653
23.55993696 -10.97860605
23.46392215 -10.96930429
23.40015344 -10.97643564
23.15675744 -11.07477589
23.07624556 -11.08785003
22.81471113 -11.08025359
22.66650313 -11.05973805
22.56103153 -11.05581064
22.4861007 -11.08671315
22.39292809 -11.15947357
22.31494836 -11.19859262
22.27877486 -11.19414845
22.25665734 -11.16371103
22.22616825 -11.12200815
22.21665978 -11.01266082
22.17790246 -10.89230641
22.20348229 -10.82946787
22.28048018 -10.78399261
22.30704186 -10.69128509
22.28316735 -10.55155202
22.28166874 -10.45331512
22.30244266 -10.39667775
22.27453739 -10.25911509
22.19774621 -10.04062713
22.08912235 -9.86280853
21.94866581 -9.72555592
21.85668176 -9.59419443
21.8131702 -9.46872405
21.82944828 -9.16843231
21.87187463 -8.90348724
21.90541263 -8.69337086
21.89585249 -8.3411443
21.80087121 -8.11190765
21.78009728 -7.86541107
21.83363407 -7.60165455
21.84159224 -7.42099375
21.80609053 -7.32864796
21.78164758 -7.31469533
21.75105513 -7.30544524
21.51086307 -7.29666025
21.19036584 -7.2849297
20.91089969 -7.28146738
20.60776574 -7.277695
20.55836307 -7.24446705
20.53583215 -7.18276539
20.53691735 -7.1217872
20.59872237 -6.93513193
20.5900924 -6.91993906
20.48219201 -6.91585662
20.19006514 -6.94629404
19.9974154 -6.97647308
19.87520064 -6.98634328
19.66033003 -7.03714121
19.52762495 -7.14447316
19.48380334 -7.279452
19.48742069 -7.39071136
19.47992761 -7.47220509
19.41931115 -7.55731618
19.37166548 -7.65508799
19.36990848 -7.70655771
19.34086633 -7.9666452
19.14268721 -8.00147511
18.94445641 -8.00147511
18.89830936 -7.99811614
18.65341475 -7.93600107
18.56272261 -7.93589772
18.4846912 -7.96855722
18.33482954 -8.00033823
18.19147912 -8.02379933
18.04719852 -8.10079721
18.00875125 -8.10756683
17.9130465 -8.06767262
17.77879113 -8.07139332
17.64339888 -8.09072031
17.57957848 -8.09904022
17.53601525 -8.0758375
17.41132002 -7.88194752
17.24502526 -7.62330698
17.15505659 -7.46135304
17.12157027 -7.41903004
17.06379601 -7.36311614
16.98473107 -7.25743784
16.95201989 -7.15708221
16.96576582 -7.06210093
16.91941206 -6.93394337
16.81306196 -6.77255788
16.74298872 -6.61845875
16.70939904 -6.47169769
16.70097578 -6.3460206
16.7178223 -6.2414275
16.69730676 -6.16427459
16.6395325 -6.11451019
16.60806156 -6.05151662
16.5851689 -6.02526499
16.53710982 -5.96578541
16.43148319 -5.90020802
16.31526289 -5.86563649
16.06018802 -5.86491302
15.72692671 -5.86382781
15.42503299 -5.86884043
15.08934289 -5.87447316
14.74946699 -5.88010589
14.65789636 -5.88883921
14.39868737 -5.89266326
14.19084476 -5.87602345
14.1137952 -5.86511972
13.9785063 -5.85726491
13.76451419 -5.85519785
13.64901737 -5.86176076
13.37151493 -5.86181243
13.34645186 -5.8634144
13.30263024 -5.88186289
13.18434289 -5.85628305
13.06817427 -5.86486134
13.00337202 -5.83618092
12.86084842 -5.85406097
12.791602 -5.87772877
12.68070438 -5.96082448
12.51451297 -6.00423268
12.45291467 -6.00051198
12.41167687 -5.98635263
12.31504195 -5.89529876
12.24042118 -5.80734547
12.21370446 -5.75871795
12.25530399 -5.74647064
12.38599369 -5.72776377
12.48454064 -5.71877207
12.50376428 -5.69577606
12.51890547 -5.42457814
12.52236779 -5.14893605
12.48738285 -5.11271087
12.45322472 -5.09059336
12.45146773 -5.07152475
12.50273075 -5.03690154
12.57352746 -4.99654225
12.59616174 -4.97840382
12.67476159 -4.90538502
12.82963586 -4.7366098
12.9475098 -4.69526865
13.05732222 -4.65103362
13.0727218 -4.63480722
13.0873979 -4.60194101
13.13664554 -4.60426645
13.15235518 -4.62033782
13.17648807 -4.65589121
13.21958622 -4.70581064
13.29730757 -4.76518686
13.37580407 -4.82942067
13.41492313 -4.83737884
13.47838179 -4.80497772
13.55165897 -4.75671193
13.65955936 -4.72152028
13.6853459 -4.68870574
13.69940189 -4.61837412
13.70761844 -4.54328826
13.71707523 -4.45445648
13.73903771 -4.44251922
13.77800174 -4.43388926
13.84947025 -4.45890065
13.88233646 -4.48468719
13.94093753 -4.48468719
13.97845462 -4.46122609
14.04682254 -4.41750783
14.13384566 -4.40004119
14.22701826 -4.35807993
14.31616011 -4.30412973
14.35832808 -4.29942718
14.40292484 -4.3697588
14.44276737 -4.41900644
14.44979536 -4.44949554
14.40995283 -4.50814829
14.36540775 -4.58550791
14.40292484 -4.68167775
14.41186486 -4.77500538
14.41072798 -4.83128102
14.44090702 -4.854122
14.46162927 -4.86497405
14.49392704 -4.85164153
14.5575924 -4.85577565
14.63397017 -4.88507619
14.70786747 -4.88171722
14.7792843 -4.84575042
14.91209273 -4.70560394
15.10629276 -4.46107106
15.26721317 -4.30759205
15.39464725 -4.24496022
15.48094689 -4.17178639
15.52600874 -4.08796722
15.60006107 -4.03091644
15.75462528 -3.98554453
15.87244754 -3.93428151
15.9900631 -3.76617807
16.14674605 -3.46412933
16.19061934 -3.19443003
16.21733605 -3.030254
16.20183312 -2.46470713
16.19154951 -2.27913706
16.21537235 -2.17779957
16.27392175 -2.1082431
16.43360192 -1.96086191
16.54072717 -1.84014577
16.62247928 -1.69896575
16.7800924 -1.37640146
16.84908044 -1.27248016
16.87993127 -1.22591969
16.97470584 -1.13993011
17.10761763 -1.06448252
17.27876997 -0.99957692
17.54283654 -0.77499114
17.75284956 -0.54906178
17.72411747 -0.27755381
17.77310672 -0.05239959
17.88772505 0.23414623
17.92524214 0.53728018
17.88576135 0.85689891
17.90245283 1.1180716
