# East Timor
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
124.31931644 -9.41374033
124.28231612 -9.42789967
124.1345732 -9.41384368
124.11555627 -9.42314544
124.09013146 -9.4164275
124.05240767 -9.37539642
124.03638797 -9.34160003
124.19813521 -9.25612721
124.44442508 -9.19034311
124.43822391 -9.23855722
124.41300581 -9.31431487
124.37569543 -9.34991994
124.31931644 -9.41374033

127.29613732 -8.42455006
127.11454634 -8.58355844
126.91517866 -8.71528167
126.79249881 -8.7551242
126.66547814 -8.78199594
126.56853316 -8.83289723
126.48688439 -8.91268564
126.382498 -8.95759246
126.26477909 -8.97273366
126.16421675 -8.99671152
126.07305952 -9.04358205
125.94614221 -9.1239389
125.89477583 -9.13210377
125.84030887 -9.13014007
125.73519901 -9.16093922
125.40798384 -9.27576426
125.21026981 -9.40356007
125.06810794 -9.51192555
125.03363976 -9.38185597
124.9969495 -9.32599375
124.96826908 -9.29426442
124.95860558 -9.25468027
124.96015588 -9.21380421
124.97751916 -9.19494232
125.10050907 -9.18982635
125.14944665 -9.12290537
125.14898156 -9.04254852
125.12443526 -9.01541839
125.10035404 -9.0039979
124.97328169 -9.06430429
124.93684981 -9.05345224
124.91509403 -9.03154144
124.92227705 -8.94250294
125.02692183 -8.85904551
125.11570194 -8.70804697
125.17802372 -8.64784393
125.32313114 -8.59130991
125.38183557 -8.57534189
125.80423872 -8.49214284
125.90511112 -8.48656178
126.17279504 -8.4889389
126.53101607 -8.47080047
126.61969282 -8.45948333
126.73451786 -8.42279306
126.84572554 -8.3773178
126.90463667 -8.34155771
126.96644169 -8.3157195
127.05852909 -8.34827565
127.21479862 -8.37297698
127.25706994 -8.39457773
127.29613732 -8.42455006

125.64610884 -8.13991627
125.57944624 -8.31179209
125.50709924 -8.27510182
125.58409712 -8.17857024
125.62109745 -8.15004485
125.64610884 -8.13991627

