# Fr. Polynesia
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-138.50585548 -20.8571762
-138.53487179 -20.87588307
-138.52404558 -20.85056162
-138.5463698 -20.79516448
-138.56838396 -20.78715464
-138.5463698 -20.77118662
-138.51495053 -20.81335459
-138.50585548 -20.8571762

-136.29389747 -18.5443458
-136.31405128 -18.56630828
-136.31601498 -18.5452243
-136.34404945 -18.53483733
-136.38291012 -18.51370167
-136.43567176 -18.48905202
-136.46424883 -18.48502125
-136.47853736 -18.47075856
-136.45869361 -18.4632138
-136.42611162 -18.47432423
-136.38035214 -18.49680348
-136.32761634 -18.51928273
-136.29389747 -18.5443458

-140.68533485 -18.37985971
-140.67189897 -18.41613657
-140.69605771 -18.39913502
-140.77323646 -18.36378834
-140.78176307 -18.33417775
-140.68533485 -18.37985971

-136.97171139 -18.34203257
-136.97134966 -18.36089446
-137.06757117 -18.26529306
-137.02964067 -18.2728895
-136.97171139 -18.34203257

-140.82989967 -18.18932871
-140.82271664 -18.21687225
-140.86005286 -18.19873382
-140.89547706 -18.14798756
-140.9586515 -18.08509734
-140.97356015 -18.05920745
-140.92513933 -18.08375376
-140.89328081 -18.1204957
-140.82989967 -18.18932871

-140.80938412 -17.85663584
-140.80442318 -17.87565276
-140.84080339 -17.8731723
-140.85155209 -17.86655771
-140.85072527 -17.83100433
-140.82426693 -17.78800954
-140.80359636 -17.75162933
-140.76142839 -17.71772959
-140.68618751 -17.68382985
-140.6498073 -17.66977386
-140.63823178 -17.67804209
-140.65202939 -17.68310638
-140.7763112 -17.7541098
-140.81517188 -17.80371917
-140.83253516 -17.83844573
-140.82922787 -17.84919443
-140.80938412 -17.85663584

-149.32152605 -17.69003102
-149.1776847 -17.73664316
-149.15086463 -17.81209075
-149.18176714 -17.86232025
-149.25447588 -17.8499179
-149.29046851 -17.82242604
-149.34111142 -17.73240569
-149.48169715 -17.75276621
-149.57890052 -17.73498952
-149.63282488 -17.61758066
-149.63499529 -17.56425058
-149.611405 -17.53169443
-149.50810381 -17.49634775
-149.37919695 -17.52239267
-149.33005266 -17.58895192
-149.32152605 -17.69003102

-149.81366655 -17.54502695
-149.84490496 -17.57107187
-149.88655616 -17.55283009
-149.905108 -17.52776702
-149.91182593 -17.50120534
-149.90216244 -17.46952768
-149.80880897 -17.47392018
-149.78242815 -17.48776946
-149.81366655 -17.54502695

-151.40979652 -16.87778086
-151.44948402 -16.87933115
-151.48547665 -16.86372487
-151.47640744 -16.76073374
-151.46674394 -16.73959808
-151.41116594 -16.77442799
-151.36450212 -16.86424163
-151.40979652 -16.87778086

-143.44056719 -16.61976043
-143.38617774 -16.66885304
-143.45852475 -16.63541839
-143.55066383 -16.62110402
-143.51557553 -16.61226735
-143.46470008 -16.61361094
-143.44056719 -16.61976043

-143.57112769 -16.6347466
-143.61066016 -16.64037933
-143.70739844 -16.58084808
-143.67019141 -16.58084808
-143.61479428 -16.61805511
-143.57112769 -16.6347466

-151.46661475 -16.6575359
-151.48493405 -16.66513234
-151.50413184 -16.64694223
-151.51240007 -16.61903696
-151.50575965 -16.57402679
-151.45741635 -16.60368906
-151.43806352 -16.62348113
-151.46661475 -16.6575359

-145.48666968 -16.32975229
-145.48222551 -16.34675384
-145.50274106 -16.34582366
-145.53984473 -16.29512908
-145.55309974 -16.25115244
-145.57669003 -16.20149139
-145.60911699 -16.16526621
-145.61281186 -16.13188323
-145.61381955 -16.07922495
-145.5770776 -16.15984018
-145.5423252 -16.22464243
-145.51700375 -16.27781748
-145.48666968 -16.32975229

-142.51181251 -16.09632985
-142.52961504 -16.10713022
-142.50685157 -16.02770355
-142.48122006 -16.01778167
-142.51181251 -16.09632985

-145.05134742 -15.85608611
-145.05767778 -15.90109629
-145.07643633 -15.85763641
-145.13793128 -15.78807993
-145.16072059 -15.75707407
-145.13353878 -15.76203501
-145.05134742 -15.85608611

-138.65114377 -10.51532684
-138.68775652 -10.53243174
-138.69036618 -10.42556487
-138.64290137 -10.44587371
-138.62447873 -10.46297861
-138.63235938 -10.4921758
-138.65114377 -10.51532684

-139.05972348 -9.93133148
-139.13398251 -10.00956959
-139.13424089 -9.92626719
-139.1074725 -9.91541513
-139.08315874 -9.91546681
-139.05972348 -9.93133148

-139.02432512 -9.69517018
-138.87446347 -9.74715667
-138.8273604 -9.74157562
-138.87492856 -9.79283864
-139.02427344 -9.82074391
-139.07367611 -9.84565195
-139.13406002 -9.8295289
-139.16643531 -9.77020436
-139.02432512 -9.69517018

-140.07563046 -9.42593597
-140.09738624 -9.44412607
-140.13805559 -9.38438812
-140.14438595 -9.35937672
-140.0709279 -9.32816416
-140.03108537 -9.34470062
-140.07563046 -9.42593597

-139.5562048 -8.94028086
-139.62100705 -8.94798065
-139.63180742 -8.89857798
-139.61175697 -8.87232635
-139.58398088 -8.86002736
-139.53457821 -8.87542693
-139.50835242 -8.89702768
-139.50990272 -8.91557952
-139.5562048 -8.94028086

-140.07260739 -8.91041188
-140.17056007 -8.93397633
-140.21743059 -8.92973886
-140.25267392 -8.8480901
-140.24006487 -8.79760223
-140.22440691 -8.78153086
-140.0576729 -8.80147796
-140.04369442 -8.83842661
-140.04614905 -8.87366994
-140.07260739 -8.91041188

