# France
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
# French Guiana
-52.28892168 4.87613679
-52.32463009 4.77087189
-52.21995948 4.86280427
-52.05808306 4.71738679
-52.01232357 4.64602163
-51.96188738 4.51440176
-51.97935401 4.42985912
-52.00170407 4.38621837
-52.00291846 4.35229279
-51.95475603 4.39905996
-51.92770342 4.43611197
-51.91956438 4.52432364
-51.88026445 4.63374848
-51.82752865 4.63568635
-51.78561907 4.57052237
-51.69862179 4.28681875
-51.6658331 4.22878612
-51.65327572 4.13876577
-51.65808163 4.09848399
-51.65255225 4.06127696
-51.68345476 4.03970205
-51.76709306 3.9926765
-51.80528195 3.92994131
-51.82750281 3.86958324
-51.87948931 3.82855215
-51.92891781 3.77697907
-51.94434323 3.73509532
-51.99064531 3.70202241
-51.99948198 3.64688365
-52.11614153 3.45229605
-52.16262448 3.36467866
-52.2294421 3.27168692
-52.2712225 3.23711538
-52.32788571 3.18171825
-52.35666948 3.11771699
-52.35666948 3.05157115
-52.39635698 2.97219615
-52.41839698 2.90385407
-52.45588823 2.86416657
-52.55469357 2.64764232
-52.55949948 2.5731249
-52.58301225 2.52888988
-52.65318885 2.42574372
-52.70062781 2.36365449
-52.78341346 2.31717154
-52.87038489 2.26665782
-52.90345781 2.21151907
-52.96484941 2.18356212
-53.00973039 2.18172761
-53.08225827 2.20172639
-53.18005591 2.2113382
-53.22979448 2.20490449
-53.25219621 2.23226716
-53.28550168 2.29520905
-53.33443926 2.33975414
-53.36598772 2.32419953
-53.43182349 2.27944774
-53.50900224 2.25314444
-53.56398597 2.26192943
-53.68366859 2.29293529
-53.73469906 2.30854157
-53.75015032 2.3349999
-53.76777198 2.35484365
-53.79423031 2.34600698
-53.82952532 2.31293407
-53.87660255 2.27825918
-53.94641741 2.23255138
-54.08976783 2.1504892
-54.13004961 2.12105948
-54.16738583 2.13707917
-54.22797645 2.15330557
-54.29303708 2.15423574
-54.43308021 2.20751415
-54.5150907 2.24544465
-54.5505149 2.29309032
-54.5919594 2.31376089
-54.61627316 2.32678335
-54.60474931 2.33577505
-54.56842078 2.34259634
-54.53596798 2.34329397
-54.48555762 2.4161319
-54.40199683 2.46150381
-54.25673438 2.71373648
-54.19552365 2.81786449
-54.18808224 2.87486359
-54.17069312 2.99361603
-54.20314592 3.13820669
-54.18803056 3.17877269
-54.06320614 3.35333568
-54.00954017 3.44852367
-54.00597449 3.53053417
-53.99047156 3.58954865
-54.00589698 3.62042532
-54.03421566 3.62939118
-54.08196469 3.70594982
-54.11278968 3.76940847
-54.19743568 3.83441743
-54.25551999 3.90105419
-54.35073381 4.05411978
-54.34215552 4.14003185
-54.36915646 4.17093435
-54.39837948 4.20250865
-54.39623491 4.24139517
-54.41602698 4.33764252
-54.44067664 4.4280246
-54.44961667 4.48502371
-54.42607805 4.58300222
-54.44026323 4.69198782
-54.4711399 4.74932282
-54.47969235 4.83650096
-54.47333615 4.9146874
-54.44687781 4.95879324
-54.45220049 5.01349274
-54.33166521 5.18738394
-54.24017209 5.2882305
-54.15596534 5.35900137
-54.08529782 5.41181468
-53.98959306 5.67603628
-53.9199074 5.76900218
-53.84714698 5.78223135
-53.45445777 5.56348501
-53.27036048 5.54327953
-52.89929786 5.42504385
-52.76499081 5.27347687
-52.45395036 5.02134756
-52.29054949 4.94217927
-52.28892168 4.87613679
