# Marshall Is.
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
169.63505171 5.83008373
169.61541467 5.79980134
169.59050663 5.80192007
169.61221073 5.82439932
169.62709354 5.85581859
169.65107141 5.94511546
169.70037072 5.9770515
169.73458052 6.01415518
169.72631229 5.97570791
169.6725688 5.93519359
169.63505171 5.83008373

171.5773621 7.04825226
171.61477583 7.02659984
171.68836307 7.02825349
171.75678267 6.97316641
171.73042769 6.97662873
171.69332401 7.00014151
171.65942427 7.01006338
171.61415572 7.0071695
171.59276167 7.01626455
171.5773621 7.04825226

171.10193892 7.13822093
171.22699588 7.08695791
171.39370406 7.11093578
171.36693566 7.0955362
171.30471724 7.08117015
171.26327274 7.06876781
171.23536747 7.06876781
171.20229455 7.07352204
171.09553104 7.10928213
171.03568973 7.15610098
171.05036584 7.17175894
171.10193892 7.13822093

168.83024295 7.30895987
168.8154635 7.29356029
168.71924198 7.30275869
168.67511031 7.32193065
168.67934777 7.33624502
168.75551883 7.32247325
168.83024295 7.30895987

166.89030969 11.15306631
166.86441979 11.14621918
166.84473107 11.15337637
166.85889042 11.16629548
166.88813928 11.16864676
166.89935306 11.16505524
166.89030969 11.15306631

