# New Caledonia
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
167.54442997 -22.62321828
167.51270064 -22.6610971
167.47342655 -22.65334564
167.44376428 -22.63918629
167.42206017 -22.61851572
167.44345422 -22.54141448
167.5294438 -22.57924163
167.54442997 -22.62321828

168.0109648 -21.42995778
168.057887 -21.44840626
168.13912235 -21.445254
168.12072554 -21.61578623
168.00641727 -21.64312306
167.96683312 -21.64162444
167.94130497 -21.605761
167.8758826 -21.58209319
167.87908654 -21.52359547
167.81542118 -21.39264739
167.92600874 -21.37280364
167.98843387 -21.33787038
167.98491988 -21.36975473
167.99463504 -21.40691009
168.0109648 -21.42995778

167.40087284 -21.16062021
167.34619917 -21.16878509
167.27323205 -21.09674814
167.13391239 -21.06067799
167.07262414 -20.99721933
167.03272993 -20.92259857
167.11169152 -20.9040984
167.18941288 -20.80353607
167.13639286 -20.76612233
167.04502892 -20.75950775
167.05577762 -20.72023366
167.20398563 -20.67351816
167.26889123 -20.70059661
167.29793338 -20.73253265
167.29348921 -20.89148935
167.36087528 -20.94213226
167.43053511 -21.05530364
167.4303284 -21.08703297
167.40087284 -21.16062021

166.54676476 -20.69873626
166.49353804 -20.70855478
166.55782352 -20.6170875
166.55968387 -20.5611736
166.58541874 -20.45048268
166.58252486 -20.413379
166.62469282 -20.41823659
166.6707882 -20.45017262
166.61787154 -20.47756113
166.60030155 -20.52536183
166.6021619 -20.58530649
166.62252241 -20.59631357
166.58882938 -20.66194264
166.54676476 -20.69873626

164.20230838 -20.24605071
164.31516971 -20.30888926
164.43598921 -20.28222422
164.58812463 -20.38113291
164.97569787 -20.68101124
165.11191695 -20.74457326
165.19180871 -20.76886118
165.25237349 -20.81795379
165.30663374 -20.88704518
165.38053104 -20.93587941
165.41246708 -20.98135467
165.4205286 -21.04279795
165.44719364 -21.08057342
165.58237919 -21.17999887
165.66278771 -21.26717702
165.77461551 -21.3117221
165.8228813 -21.36376027
165.88530643 -21.3891334
165.94948856 -21.44236012
166.05780236 -21.48390797
166.30336877 -21.63723195
166.49291792 -21.78280446
166.58748579 -21.8728248
166.68970178 -21.95302663
166.82013309 -22.01700205
166.94239953 -22.09017588
167.0043079 -22.26148325
166.9703048 -22.32287485
166.90002486 -22.35331227
166.8350159 -22.35548268
166.77414107 -22.37615325
166.57063928 -22.26556569
166.52216678 -22.24918426
166.46800988 -22.25605722
166.43772749 -22.23151092
166.4164368 -22.19621592
166.29231001 -22.15508148
166.17665816 -22.08919402
166.14317183 -22.04444223
166.12374149 -21.98873504
166.09604292 -21.95664398
165.93305545 -21.90796478
165.82339807 -21.85380788
165.74381636 -21.77732676
165.62020633 -21.72425506
165.42765995 -21.61501108
165.3286479 -21.58002614
165.24193485 -21.5255075
165.01011437 -21.3268633
164.92743208 -21.28981129
164.85529178 -21.20154795
164.65561405 -20.99205169
164.55949588 -20.9058554
164.45469608 -20.8291159
164.37449426 -20.73930226
164.31289595 -20.63274546
164.16975223 -20.48014495
164.15218225 -20.41498097
164.15807336 -20.34795664
164.12365685 -20.30485849
164.06505578 -20.27860687
164.03725386 -20.23364837
164.04056115 -20.17287689
164.05968143 -20.14150929
164.20230838 -20.24605071

159.95181848 -19.31174082
159.9364189 -19.33313486
159.92825402 -19.17428151
159.95988 -19.11464691
159.97507287 -19.23825693
159.95181848 -19.31174082

