# Norfolk Island
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
167.93944461 -29.01766001
167.95980513 -29.02830535
167.97809859 -29.03429982
167.99039758 -29.04205128
167.98864058 -29.05900115
167.97902876 -29.07564096
167.96765995 -29.08277231
167.96414595 -29.08535613
167.96187219 -29.08845672
167.96063195 -29.09217742
167.96073531 -29.09631154
167.95474084 -29.08215219
167.94440555 -29.07295379
167.93376021 -29.07212697
167.92652551 -29.08277231
167.92042769 -29.08277231
167.91825728 -29.07192026
167.91422652 -29.06189503
167.91236616 -29.05279998
167.91639693 -29.04515187
167.92404504 -29.03585011
167.9245618 -29.02851206
167.91856734 -29.02510141
167.90616499 -29.02809865
167.92063439 -29.0139393
167.93944461 -29.01766001

