# S. Sudan
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
33.95919885 9.845265
33.89496504 9.71762421
33.87398441 9.62677705
33.86778324 9.5503476
33.87150394 9.50613841
33.87879032 9.47774221
33.88209761 9.47120515
33.88488814 9.46639924
33.88783369 9.46350536
33.89093428 9.46221345
34.07681441 9.46151581
34.07809833 9.46151581
34.07810632 9.46151581
34.07712446 9.42097565
34.08456587 9.21850739
34.09102542 9.04125723
34.10161909 8.75186921
34.10172245 8.6763441
34.0945911 8.58224132
34.07278364 8.54526683
34.01976362 8.49209178
33.95330773 8.4434901
33.78504927 8.43111359
33.64479943 8.43258637
33.5453223 8.44341258
33.40936161 8.44772757
33.2811007 8.43726309
33.23428185 8.39638703
33.16524214 8.2510729
33.06519657 8.04049144
33.01258996 7.95150462
32.9988957 7.89951813
33.01465702 7.86856395
33.08075117 7.82370881
33.22601362 7.76066356
33.39225671 7.72371491
33.51633182 7.70777273
33.60097782 7.69040945
33.66609012 7.67097911
33.90245812 7.50954194
33.97795739 7.43458527
34.02038374 7.36797435
34.03020226 7.29697093
34.06420536 7.22573497
34.20042443 7.0845808
34.27928267 7.00282868
34.48433475 6.89839061
34.56277958 6.77984488
34.63874393 6.72214814
34.71067752 6.66031729
34.74922814 6.56786815
34.83805993 6.30013255
34.89784956 6.1598052
34.95903446 6.04505768
34.98358076 5.8583249
35.03189823 5.7748933
35.08192101 5.6731424
35.16449995 5.58121003
35.25245324 5.51103343
35.26831791 5.49230073
35.08445316 5.31187246
34.87836755 5.10958507
34.63982914 4.87546499
34.38020674 4.62067434
34.17685998 4.41911042
33.97609704 4.22020783
33.74164107 3.98526093
33.56842167 3.81170563
33.53953454 3.78710765
33.48935672 3.75506826
33.3243022 3.75434479
33.15408003 3.77470531
32.99724206 3.88020274
32.83802697 3.79847647
32.73715458 3.77268993
32.67689986 3.76318146
32.53478967 3.7499523
32.33573205 3.70618236
32.245505 3.65130199
32.19672245 3.60779043
32.1562598 3.52800202
32.13589929 3.51973379
32.0994674 3.52919058
32.04820438 3.56117829
31.94185428 3.60755789
31.88826582 3.70910208
31.83870812 3.77046784
31.79809045 3.80261058
31.62890181 3.7014798
31.54714969 3.67757945
31.47997033 3.6804475
31.35739383 3.73757579
31.2219499 3.78594493
31.15234175 3.78560904
31.04800703 3.72499258
30.92940962 3.6340679
30.86812137 3.54412507
30.83856245 3.49071747
30.81691003 3.53335053
30.79696292 3.57316722
30.75717207 3.6241977
30.69991459 3.64409313
30.64766971 3.63414541
30.58669152 3.6241977
30.55935469 3.6528006
30.55351525 3.72292552
30.53692712 3.78718517
30.50829837 3.83570934
30.42070682 3.88389761
30.19488081 3.9819278
30.02135135 4.17765229
29.93401818 4.2685253
29.87024946 4.32712637
29.77986738 4.48096711
29.67687626 4.58690379
29.55207767 4.63604808
29.46965376 4.61181184
29.38485274 4.4984079
29.22491418 4.39187694
29.15143029 4.38820791
29.05737918 4.44593049
28.93935021 4.48706493
28.72706343 4.50499665
28.63952355 4.45450878
28.52480187 4.37286001
28.42754683 4.32415497
28.36724043 4.31867727
28.31101647 4.3380301
28.24729943 4.34854625
28.192109 4.35022573
28.07862756 4.42479483
28.01981978 4.47939098
27.98070072 4.53210094
27.91662194 4.56793854
27.84163944 4.59775585
27.78810265 4.64467805
27.76143762 4.70322744
27.71926965 4.77833914
27.66418257 4.84600943
27.49101485 4.9675524
27.43923506 5.03922761
27.40331994 5.1091975
27.33247155 5.18635041
27.2567139 5.2896516
27.23252933 5.44075349
27.22906701 5.56250316
27.21335737 5.61880463
27.18121463 5.67515778
27.14390425 5.72295848
27.08344282 5.77683116
26.94231449 5.85494009
26.79643192 5.94552888
26.726307 5.99823884
26.5936536 6.01751415
26.5142786 6.06924226
26.44751265 6.18298208
26.42053755 6.27419099
26.35335819 6.34491018
26.32462609 6.39625072
26.3086064 6.45531688
