# Sierra Leone
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-12.5260516 7.43634227
-12.54062436 7.41024567
-12.6071836 7.47453115
-12.95160702 7.57085602
-12.85437781 7.62201569
-12.61524512 7.63720856
-12.54419003 7.60739126
-12.51251238 7.58243155
-12.5006268 7.53509593
-12.5260516 7.43634227

-11.18088823 9.92533763
-11.11567257 9.84314627
-11.04745968 9.78630219
-10.96307207 9.6616328
-10.86478349 9.51644786
-10.75858843 9.38534475
-10.69053056 9.31426382
-10.68270159 9.28935578
-10.68763668 9.26114045
-10.72122637 9.19447785
-10.74995846 9.12236339
-10.74701291 9.09528494
-10.7268591 9.08169404
-10.61596147 9.05918895
-10.60575538 8.9788321
-10.60562619 8.86759858
-10.55177934 8.76375479
-10.50054216 8.68755789
-10.50315182 8.66029857
-10.62846717 8.52999645
-10.67735307 8.40057282
-10.70215776 8.36419261
-10.71207964 8.33525381
-10.68696489 8.32166291
-10.65265174 8.33029287
-10.60399838 8.31946666
-10.55772213 8.31569428
-10.49643389 8.36212556
-10.39442461 8.48098135
-10.36003394 8.49552827
-10.28321693 8.4851413
-10.28574907 8.45410961
-10.3146362 8.31086254
-10.3598014 8.1879243
-10.38956702 8.15759024
-10.51674272 8.12526663
-10.57084795 8.0711614
-10.61758928 7.89641755
-10.6474841 7.75937165
-10.69127987 7.73642731
-10.87806434 7.53822236
-11.00022742 7.46303315
-11.08539018 7.3985668
-11.16613461 7.31441173
-11.26765296 7.23263378
-11.37669023 7.0946577
-11.45454078 6.95122976
-11.50753496 6.90652965
-11.54750668 6.94696646
-11.73343848 7.08855988
-11.92918881 7.18354116
-12.34663103 7.3417744
-12.48564063 7.38626781
-12.48067969 7.44249177
-12.43272396 7.54501781
-12.51044532 7.66573395
-12.48026628 7.75327383
-12.51044532 7.75337718
-12.57023495 7.70056387
-12.69761736 7.71586009
-12.78195329 7.79110098
-12.85086382 7.81869619
-12.8809395 7.85665253
-12.92514869 8.05516755
-12.95692969 8.14529125
-13.02077593 8.20092093
-13.14895932 8.21461518
-13.20177263 8.33582225
-13.27277605 8.42971833
-13.26120053 8.48759593
-13.20332292 8.48428864
-13.15795102 8.4422757
-13.08500973 8.42475739
-12.99426592 8.52645661
-12.91295305 8.58156953
-12.89409115 8.62980948
-12.90401303 8.65626781
-12.95336402 8.61513337
-13.08823951 8.62572704
-13.12164832 8.58877839
-13.18182553 8.57689281
-13.22843767 8.69590363
-13.22618974 8.76597687
-13.20694027 8.84310395
-13.07103126 8.85635895
-13.05948157 8.88116364
-13.15371355 8.8977001
-13.27161333 8.98741039
-13.29269731 9.0492154
-13.23422543 9.07014435
-13.17836321 9.06086844
-13.12989071 9.04756175
-13.0772841 9.06962759
-13.02801063 9.10357901
-12.99860674 9.14693553
-12.95881588 9.26331086
-12.83109758 9.30222321
-12.75588253 9.37358837
-12.68441403 9.48417593
-12.65165117 9.56189728
-12.62214393 9.60065461
-12.60359209 9.63424429
-12.58984616 9.67114126
-12.55785845 9.70496349
-12.52437212 9.78720653
-12.50147946 9.86216319
-12.42799557 9.89812999
-12.27772051 9.92978181
-12.14232825 9.87539236
-11.92275509 9.92272797
-11.91107622 9.99303376
-11.71002906 9.99417064
-11.4719299 9.99546255
-11.27364743 9.99652192
-11.20564124 9.97773754
-11.18088823 9.92533763

