# Solomon Is.
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
166.92917036 -11.66517913
166.84080366 -11.68130218
166.80597375 -11.67737477
166.74747603 -11.59086842
166.79088423 -11.57133473
166.85547977 -11.57877614
166.87511682 -11.6297291
166.92917036 -11.66517913

160.57627648 -11.79788421
160.5065133 -11.83219736
160.44305464 -11.81493743
160.39458215 -11.78889251
160.35510135 -11.71189463
160.27024865 -11.6639389
160.14953251 -11.64399179
160.10002648 -11.61071217
160.08710738 -11.59438242
160.00349491 -11.57960296
159.97931034 -11.53795176
159.98633833 -11.49475026
159.99998091 -11.47201263
160.07728885 -11.49288991
160.44873905 -11.69587493
160.53710575 -11.75881683
160.57627648 -11.79788421

166.1331466 -10.75784433
166.05335819 -10.77505259
166.02793338 -10.77024668
165.96819543 -10.77944508
165.9040133 -10.85143035
165.85657433 -10.84140512
165.8193673 -10.84404062
165.79104862 -10.78476775
165.7904285 -10.75608733
165.83590376 -10.76063486
165.85988163 -10.70306732
165.90918094 -10.67433522
166.02379927 -10.66110605
166.12570519 -10.6798646
166.1620854 -10.69304209
166.12994266 -10.74518361
166.1331466 -10.75784433

161.7153284 -10.38732431
161.84110884 -10.44613209
161.91438602 -10.43641692
162.02290653 -10.47682789
162.10538211 -10.45378021
162.15685184 -10.50607676
162.2871798 -10.70999196
162.28800663 -10.77613779
162.37337609 -10.8232667
162.30123579 -10.83215504
162.20129357 -10.80776377
162.12367557 -10.82440358
162.04264693 -10.78481943
161.90591109 -10.76435556
161.78684859 -10.7169166
161.53787154 -10.56643483
161.53931848 -10.4912973
161.49911421 -10.45460703
161.48702193 -10.36138274
161.39793176 -10.33192718
161.29395878 -10.32644948
161.28558719 -10.28242116
161.30481083 -10.20438974
161.38232547 -10.20552663
161.47565311 -10.23797942
161.65383345 -10.35187428
161.69796512 -10.37130462
161.7153284 -10.38732431

161.54779341 -9.62571705
161.55885217 -9.73273895
161.55378788 -9.7696876
161.47792687 -9.69113942
161.44247684 -9.71894134
161.40971398 -9.68163095
161.41198775 -9.60034393
161.41705204 -9.51373423
161.40227258 -9.44810516
161.36413537 -9.35338226
161.4068201 -9.36847177
161.54779341 -9.62571705

159.75038374 -9.27261199
159.9706287 -9.43327402
160.06529992 -9.41864959
160.35458459 -9.42159515
160.52522017 -9.53626515
160.62547245 -9.58887176
160.68179976 -9.69155283
160.75145959 -9.71501393
160.79435103 -9.76741383
160.81894901 -9.86280853
160.80168908 -9.87831146
160.71311568 -9.91386484
160.64924361 -9.92859262
160.48160526 -9.89474456
160.32109826 -9.82126067
160.00235803 -9.81237233
159.85373661 -9.79149505
159.80278364 -9.76348642
159.75544803 -9.72607269
159.68041385 -9.63677581
159.62191613 -9.53213104
159.61230432 -9.47068776
159.60744673 -9.35379567
159.62563683 -9.31121429
159.68630497 -9.26863291
159.75038374 -9.27261199

160.16813602 -8.99547129
160.22570357 -9.00952728
160.25350549 -9.00735687
160.31934126 -9.06110036
160.40750126 -9.140372
160.37153446 -9.18129974
160.30001428 -9.16031911
160.27593306 -9.16869069
160.26818159 -9.16316131
160.25309208 -9.12342213
160.17516402 -9.08404469
160.10540083 -9.0807374
160.09630578 -9.03402191
160.16813602 -8.99547129

159.18855757 -9.12352549
159.1751217 -9.12600595
159.12809614 -9.11381032
159.07104536 -9.1096762
159.0363188 -9.07494964
159.07765995 -9.02534026
159.12974979 -8.99309417
159.15372766 -9.0013624
159.17605187 -9.02203297
159.22845178 -9.02999114
159.23403283 -9.09375986
159.18855757 -9.12352549

157.64539595 -8.7588449
157.64312219 -8.79408823
157.5858647 -8.78308115
157.45791385 -8.73016448
157.45357303 -8.70592824
157.52633345 -8.69709157
157.57925012 -8.70370615
157.62327844 -8.73455698
157.64539595 -8.7588449

158.20081424 -8.8219935
158.17880008 -8.82576588
158.15533898 -8.78597503
158.21001265 -8.67807464
158.23636763 -8.76483937
158.25342085 -8.79734385
158.20081424 -8.8219935

158.10790002 -8.68417246
158.00950809 -8.76313405
157.9375745 -8.73646901
157.87928348 -8.66877288
157.89840376 -8.58722747
157.90925581 -8.56562672
157.93829797 -8.56097584
157.96703006 -8.54423268
157.99844933 -8.50816253
158.1055229 -8.53679127
158.13218794 -8.55663502
158.06831587 -8.60665781
158.08960656 -8.6226775
158.10345585 -8.64644866
158.10790002 -8.68417246

157.38897749 -8.713473
157.38908085 -8.72809743
157.33389042 -8.69998545
157.21234745 -8.56500661
157.23384484 -8.51994476
157.34515588 -8.43245656
157.37946903 -8.42093271
157.4108883 -8.47508961
157.38349979 -8.55508473
157.34701623 -8.57544524
157.33223677 -8.65068613
157.38897749 -8.713473

159.68764855 -8.50795582
159.64000288 -8.52149505
159.56920617 -8.48480478
159.53851037 -8.45131845
159.55318648 -8.39922861
159.59463098 -8.37948821
159.64155318 -8.41442148
159.64630741 -8.45038828
159.68764855 -8.50795582

160.74939253 -8.3139625
160.99764611 -8.61203216
160.98782759 -8.66484547
160.95413456 -8.69895192
160.94431603 -8.79899749
160.9755286 -8.83754811
161.04343143 -8.8551181
161.15866988 -8.96177825
161.2046619 -9.09251963
161.20879601 -9.13262054
161.25664839 -9.19194508
161.25850874 -9.3168987
161.36795943 -9.4903248
161.37757124 -9.57373056
161.36744266 -9.61124765
161.32186405 -9.58954355
161.19101932 -9.39286305
161.04146773 -9.30801035
161.0244145 -9.27152679
160.87341597 -9.15680511
160.77202681 -8.96384531
160.66257613 -8.62061045
160.71404585 -8.53927174
160.59043583 -8.37277028
160.59632694 -8.32822519
160.64852014 -8.33835377
160.68479699 -8.33633839
160.70216027 -8.31654632
160.74939253 -8.3139625

157.76342492 -8.24223561
157.82626346 -8.32398773
157.89840376 -8.50630218
157.88548465 -8.56914072
157.83370487 -8.57265472
157.81933882 -8.61203216
157.74916223 -8.52366546
157.65593794 -8.4996876
157.58793176 -8.44542734
157.56457401 -8.33783701
157.55795943 -8.26993418
157.50421594 -8.25830698
157.35135705 -8.27530853
157.30247114 -8.33328948
157.2323979 -8.31489267
157.21761844 -8.26275115
157.22847049 -8.21164316
157.32159142 -8.16120696
157.34060835 -8.09640472
157.43341922 -7.98468027
157.49067671 -7.9657667
157.59888716 -8.00597096
157.61232303 -8.16482431
157.65128706 -8.2168108
157.76342492 -8.24223561

156.60390913 -8.17154225
156.5917135 -8.19624358
156.53962365 -8.07294362
156.54231083 -8.01082855
156.55130253 -7.97098602
156.57031945 -7.9587387
156.61238407 -8.09619801
156.60390913 -8.17154225

157.17183312 -8.10808359
157.15002567 -8.12322479
157.0411951 -8.1174887
156.95830611 -8.01434254
156.95902958 -7.93796478
157.02414188 -7.86789153
157.10269006 -7.85548919
157.1457882 -7.88256764
157.18609582 -7.94116872
157.20056522 -8.01589284
157.19147017 -8.08183196
157.17183312 -8.10808359

156.68783166 -7.92308196
156.66871138 -7.93682789
156.6353284 -7.88282602
156.61104048 -7.86592783
156.6116606 -7.80577646
156.51099491 -7.70779795
156.50241662 -7.64020517
156.56091434 -7.57405934
156.63966922 -7.61260996
156.71770064 -7.69570566
156.80906457 -7.72288747
156.79025435 -7.77797454
156.70798547 -7.87698659
156.68783166 -7.92308196

159.87916141 -8.53425913
159.88091841 -8.55746185
159.74645633 -8.47384938
159.64455041 -8.3716334
159.35412886 -8.26042571
159.29170373 -8.20337493
159.23920047 -8.19624358
159.090269 -8.10332936
158.94402469 -8.04069752
158.85462447 -7.95977223
158.83188683 -7.92669931
158.77803999 -7.90695892
158.68626265 -7.81807545
158.59696577 -7.75906097
158.56544315 -7.65136728
158.47883345 -7.57710825
158.45743941 -7.54470713
158.73432173 -7.60434173
158.86278934 -7.7223707
158.97244673 -7.78913665
159.01058394 -7.83740244
159.10938928 -7.90354827
159.19806603 -7.90954274
159.28684614 -7.97620534
159.36766808 -7.99418873
159.4314368 -8.02901865
159.84309126 -8.32698496
159.79399865 -8.4060499
159.84867232 -8.46351409
159.87916141 -8.53425913

155.83982141 -7.09718922
155.73936242 -7.12106373
155.67755741 -7.08892099
155.70494592 -7.01264658
155.73894901 -6.97295908
155.86462609 -7.04323903
155.83982141 -7.09718922

157.4867493 -7.33040496
157.51868534 -7.36559661
157.44127404 -7.42564463
157.33926476 -7.39308847
157.3172506 -7.35934376
157.31466678 -7.34151539
157.24345666 -7.35298756
157.10155318 -7.32363535
156.90435591 -7.18049163
156.69578983 -6.91094736
156.49487186 -6.76160247
156.45745812 -6.71519704
156.45249719 -6.6383025
156.47936893 -6.60884694
156.60421919 -6.64098968
156.76544966 -6.76408294
157.0302397 -6.89203379
157.1025867 -6.95724944
157.14847538 -7.11372568
157.19333052 -7.16033782
157.33616418 -7.28043385
157.41161177 -7.30854583
157.45160933 -7.31371347
157.4867493 -7.33040496

