# United Kingdom
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-1.06556251 50.69023957
-1.14938168 50.65571971
-1.17584001 50.61525707
-1.19607134 50.59923737
-1.25149431 50.58879873
-1.30629717 50.58854035
-1.51535417 50.6697757
-1.56341326 50.66610668
-1.51569007 50.70331371
-1.38585303 50.73354442
-1.3128084 50.7734903
-1.14421404 50.73473298
-1.06556251 50.69023957

-4.19679257 53.32144847
-4.15488298 53.30284496
-4.04935971 53.30573884
-4.08429298 53.26429434
-4.20038408 53.21804393
-4.27859636 53.17241364
-4.37306088 53.13419892
-4.4188462 53.17804637
-4.47199541 53.17636689
-4.55320492 53.26047028
-4.56788103 53.38645742
-4.46173764 53.41927196
-4.31507992 53.41725658
-4.19679257 53.32144847

-6.37529009 55.24179637
-6.23421343 55.21683666
-6.12915524 55.2174051
-6.03577593 55.14454133
-5.98575314 55.02966462
-5.86919695 54.91623485
-5.71682899 54.81748119
-5.71073117 54.75707144
-5.76519813 54.72464448
-5.87909298 54.68438854
-5.8786279 54.64131623
-5.80346452 54.66302033
-5.7386106 54.67304556
-5.58254778 54.66343374
-5.52792579 54.61961213
-5.49020199 54.55403474
-5.47038408 54.50018789
-5.48389747 54.4416385
-5.52588457 54.46019033
-5.56854346 54.51259024
-5.61598243 54.53672313
-5.67106951 54.54974559
-5.64610979 54.47786367
-5.65597999 54.38171967
-5.63189877 54.37265046
-5.55779477 54.37099681
-5.60678402 54.27257905
-5.70806983 54.24583649
-5.82617632 54.2358371
-5.85462419 54.20098135
-5.87606991 54.15607453
-5.93774573 54.08907604
-6.0190586 54.05127473
-6.11954342 54.05887116
-6.21801286 54.08874014
-6.30366655 54.09488963
-6.36366289 54.07711294
-6.40257524 54.06062816
-6.4402732 54.06362539
-6.54814775 54.05726919
-6.64982113 54.05863862
-6.66421302 54.08476105
-6.64684974 54.16343842
-6.66953569 54.18470327
-6.76658403 54.195607
-6.8026025 54.21436555
-6.85833554 54.26867748
-6.8692651 54.2940506
-6.87722327 54.32908723
-6.93616024 54.37432994
-7.0077321 54.40670523
-7.04969337 54.40825552
-7.1334867 54.35539053
