# W. Sahara
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-8.68336626 27.28593171
-8.68308204 27.11927521
-8.68287533 26.92132864
-8.68261695 26.72312368
-8.68233273 26.49771109
-8.68210019 26.27317699
-8.68215186 26.10946605
-8.68220354 25.99551952
-8.88562781 25.99551952
-9.07192135 25.99551952
-9.25821489 25.99551952
-9.44450843 25.99551952
-9.63085364 25.99549368
-9.81717302 25.99546784
-10.0034924 25.99546784
-10.18981177 25.99546784
-10.37613115 25.99546784
-10.56245053 25.99546784
-10.7487699 25.99546784
-10.93508928 25.99546784
-11.12140866 25.995442
-11.30772803 25.99541616
-11.49404741 25.99541616
-11.68034095 25.99541616
-11.86666033 25.99541616
-12.01628944 25.99541616
-12.01628944 25.87630199
-12.01628944 25.74013459
-12.01628944 25.60399303
-12.01628944 25.46785147
-12.01628944 25.33168407
-12.01628944 25.19554251
-12.01628944 25.05940095
-12.01628944 24.92323355
-12.01628944 24.78709199
-12.01628944 24.65095043
-12.01628944 24.51478303
-12.01628944 24.37864147
-12.01628944 24.2424999
-12.01628944 24.10633251
-12.01628944 23.97019094
-12.01628944 23.83404938
-12.01628944 23.69788198
-12.01628944 23.57644237
-12.02342078 23.46756013
-12.08333961 23.43544322
-12.2261991 23.3774881
-12.37288266 23.31800853
-12.55935706 23.29080089
-12.62041277 23.27134471
-12.73960446 23.19271902
-12.89597734 23.08957286
-13.03149879 23.00025015
-13.12087318 22.88405569
-13.1532743 22.82051952
-13.16647763 22.75321096
-13.15596147 22.68931306
-13.10733395 22.56074209
-13.09431149 22.49599152
-13.08676673 22.38325939
-13.07847266 22.26045034
-13.06958432 22.12818452
-13.06067013 21.99573782
-13.05121334 21.85476451
-13.04175656 21.71381704
-13.03219642 21.57209443
-13.02511675 21.46677786
-13.0162284 21.33394359
-13.16743364 21.33378856
-13.39672197 21.33353018
-13.6260103 21.33324596
-13.85535031 21.33296174
-14.08463864 21.33270336
-14.31395281 21.33241914
-14.54326697 21.33213491
-14.77260698 21.33187653
-15.00189531 21.33159231
-15.23120948 21.33130809
-15.46052365 21.33104971
-15.68981198 21.33076549
-15.91912615 21.33048127
-16.14844031 21.33022289
-16.37772864 21.32993867
-16.60704281 21.32965445
-16.83635698 21.32939606
-16.96456621 21.32924103
-17.00590736 21.14243073
-17.04239092 21.00799449
-17.06399167 20.89885387
-17.04804949 20.80614635
-17.0987699 20.85686677
-17.00962806 21.37709341
-17.00306515 21.42070832
-17.0029618 21.42073416
-16.95113034 21.43026846
-16.73093706 21.47031769
-16.58102373 21.48106639
-16.19086667 21.48106639
-16.04100501 21.50060008
-15.92085731 21.50060008
-15.7509452 21.49083324
-15.61079871 21.47031769
-15.46091122 21.450784
-15.29097327 21.450784
-15.15085263 21.44101716
-14.97114783 21.44101716
-14.84079403 21.450784
-14.75095456 21.50060008
-14.67085609 21.60018057
-14.64109046 21.68027904
-14.61080807 21.75058483
-14.62106584 21.82089061
-14.63083269 21.86093985
-14.58101661 21.91075593
-14.52096859 21.9908544
-14.46089474 22.0406188
-14.44089596 22.08066804
-14.38082211 22.12071727
-14.31103309 22.19102306
-14.27098385 22.2408133
-14.22116777 22.31016307
-14.21093584 22.37070201
-14.19088538 22.45077464
-14.19088538 22.5904302
-14.1708866 22.76036815
-14.1410693 22.87069733
-14.12107052 22.96056265
-14.1010459 23.10019237
-14.04097205 23.3404361
-14.02097327 23.41076773
-13.98092404 23.52011506
-13.93110796 23.62070323
-13.8911104 23.69100902
-13.84077755 23.75059195
-13.77096269 23.79064118
-13.6610986 23.83063874
-13.58102597 23.87071381
-13.48092872 23.91073721
-13.39108924 23.9410196
-13.31099077 23.98106883
-13.28073422 24.02011038
-13.23094398 24.09041616
-13.16110328 24.22033072
-13.12107988 24.30037751
-13.06100603 24.40099152
-12.99116533 24.47031546
-12.94786048 24.49726472
-12.91111854 24.5201057
-12.82076229 24.57090363
-12.71092404 24.63048656
-12.63082557 24.6802768
-12.56101071 24.7310489
-12.50096269 24.77011628
-12.431122 24.83068106
-12.40086544 24.8804713
-12.36081621 24.97031078
-12.31100013 25.11094819
-12.27095089 25.26031892
-12.2309275 25.42051586
-12.20113603 25.52009634
-12.17085364 25.64024405
-12.13083025 25.73106538
-12.10103878 25.8306717
-12.08104 25.87072093
-12.08104 25.92048534
-12.06098955 25.99081696
-12.05680376 25.99634634
-12.030733 26.0308662
-11.9608923 26.05039989
-11.88084551 26.07091543
-11.75485836 26.08652171
-11.71821977 26.1040917
-11.69920285 26.16269278
-11.68452674 26.21349071
-11.63719113 26.29550121
-11.5839644 26.36092357
-11.55319109 26.40097281
-11.51166907 26.47032258
-11.47068966 26.52011282
-11.39989295 26.58359732
-11.33788123 26.6334134
-11.31684892 26.68415965
-11.31684892 26.74472443
-11.36129066 26.79355866
-11.3925549 26.88342398
-11.2636222 26.91073497
-11.15034746 26.94101736
-11.04683957 26.9703179
-10.92281613 27.01034129
-10.83005693 27.01034129
-10.7577616 27.02010814
-10.65425371 27.00057445
-10.55126258 26.9908076
-10.47896725 26.96055105
-10.35494381 26.90099396
-10.25143592 26.86094473
-10.1894242 26.86094473
-10.12301999 26.88047842
-10.0668477 26.90879711
-10.03268958 26.91073497
-9.9809098 26.89024527
-9.90034624 26.85019603
-9.81784481 26.85019603
-9.73534339 26.86094473
-9.67333167 26.91073497
-9.56982378 26.9908076
-9.48729652 27.05039053
-9.41303748 27.08847606
-9.35298947 27.09824291
-9.2856034 27.09824291
-9.20845049 27.10020661
-9.08442705 27.09043976
-9.00189979 27.09043976
-8.88909014 27.10408234
-8.794884 27.12069632
-8.75385291 27.15097871
-8.75385291 27.1910021
-8.77436846 27.25058503
-8.79682187 27.30820425
-8.80268714 27.36094005
-8.78899289 27.41656973
-8.77436846 27.46054637
-8.78460039 27.530878
-8.81390093 27.61387035
-8.81777964 27.6558983
-8.81782833 27.65642589
-8.68336626 27.65645173
-8.68336626 27.49026032
-8.68336626 27.28593171

