# West Bank
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
35.55145308 32.39551647
35.5720203 32.23787751
35.53470991 32.10300202
35.53150598 31.98492137
35.55899784 31.76552908
35.49946659 31.67238231
35.46546349 31.56236319
35.45052901 31.47931916
35.40872277 31.48293651
35.27668949 31.42278514
35.10119632 31.36619945
34.90777144 31.35131664
34.88048628 31.36816315
34.87273482 31.39689525
34.92921716 31.53657665
34.95092126 31.60228323
35.03468876 31.67323497
35.1534412 31.73449738
35.20367069 31.75002615
35.19798628 31.77632945
35.12713789 31.81676626
35.05318892 31.8379536
34.98301232 31.81681794
34.96115319 31.82332917
34.95381514 31.84126089
34.97830977 31.86642731
34.98978194 31.91329784
34.97877486 31.99158763
34.97138513 32.08708568
34.95593387 32.1609313
34.9994971 32.28107901
35.01050418 32.33818146
35.0650745 32.46042206
35.19323205 32.53442272
35.30381961 32.51292532
35.36216231 32.50747346
35.38670861 32.49302989
35.40262495 32.45062938
35.48442875 32.40164012
35.55145308 32.39551647

