# Meuse (Maas) catchment
5.500 47.942 6011000
5.492 47.942 6011000
5.492 47.950 6011000
5.483 47.950 6011000
5.483 47.958 6011000
5.475 47.958 6011000
5.475 47.975 6011000
5.483 47.975 6011000
5.483 48.008 6011000
5.475 48.008 6011000
5.475 48.017 6011000
5.467 48.017 6011000
5.467 48.042 6011000
5.458 48.042 6011000
5.458 48.075 6011000
5.475 48.075 6011000
5.475 48.092 6011000
5.483 48.092 6011000
5.483 48.100 6011000
5.492 48.100 6011000
5.492 48.125 6011000
5.500 48.125 6011000
5.500 48.142 6011000
5.492 48.142 6011000
5.492 48.167 6011000
5.517 48.167 6011000
5.517 48.183 6011000
5.508 48.183 6011000
5.508 48.200 6011000
5.517 48.200 6011000
5.517 48.217 6011000
5.525 48.217 6011000
5.525 48.242 6011000
5.517 48.242 6011000
5.517 48.250 6011000
5.483 48.250 6011000
5.483 48.267 6011000
5.475 48.267 6011000
5.475 48.275 6011000
5.467 48.275 6011000
5.467 48.292 6011000
5.458 48.292 6011000
5.458 48.300 6011000
5.450 48.300 6011000
5.450 48.308 6011000
5.467 48.308 6011000
5.467 48.317 6011000
5.475 48.317 6011000
5.475 48.308 6011000
5.508 48.308 6011000
5.508 48.317 6011000
5.525 48.317 6011000
5.525 48.325 6011000
5.533 48.325 6011000
5.533 48.333 6011000
5.542 48.333 6011000
5.542 48.350 6011000
5.550 48.350 6011000
5.550 48.375 6011000
5.542 48.375 6011000
5.542 48.383 6011000
5.550 48.383 6011000
5.550 48.400 6011000
5.558 48.400 6011000
5.558 48.408 6011000
5.567 48.408 6011000
5.567 48.417 6011000
5.575 48.417 6011000
5.575 48.425 6011000
5.567 48.425 6011000
5.567 48.450 6011000
5.575 48.450 6011000
5.575 48.458 6011000
5.583 48.458 6011000
5.583 48.492 6011000
5.592 48.492 6011000
5.592 48.542 6011000
5.583 48.542 6011000
5.583 48.550 6011000
5.575 48.550 6011000
5.575 48.558 6011000
5.533 48.558 6011000
5.533 48.575 6011000
5.525 48.575 6011000
5.525 48.592 6011000
5.517 48.592 6011000
5.517 48.608 6011000
5.525 48.608 6011000
5.525 48.625 6011000
5.533 48.625 6011000
5.533 48.658 6011000
5.517 48.658 6011000
5.517 48.667 6011000
5.500 48.667 6011000
5.500 48.675 6011000
5.508 48.675 6011000
5.508 48.683 6011000
5.500 48.683 6011000
5.500 48.692 6011000
5.467 48.692 6011000
5.467 48.700 6011000
5.458 48.700 6011000
5.458 48.708 6011000
5.450 48.708 6011000
5.450 48.742 6011000
5.442 48.742 6011000
5.442 48.758 6011000
5.425 48.758 6011000
5.425 48.817 6011000
5.433 48.817 6011000
5.433 48.825 6011000
5.417 48.825 6011000
5.417 48.850 6011000
5.408 48.850 6011000
5.408 48.858 6011000
5.400 48.858 6011000
5.400 48.867 6011000
5.383 48.867 6011000
5.383 48.883 6011000
5.375 48.883 6011000
5.375 48.900 6011000
5.383 48.900 6011000
5.383 48.917 6011000
5.392 48.917 6011000
5.392 48.933 6011000
5.367 48.933 6011000
5.367 48.942 6011000
5.358 48.942 6011000
5.358 48.958 6011000
5.333 48.958 6011000
5.333 48.975 6011000
5.317 48.975 6011000
5.317 48.983 6011000
5.292 48.983 6011000
5.292 48.992 6011000
5.275 48.992 6011000
5.275 49.008 6011000
5.300 49.008 6011000
5.300 49.017 6011000
5.317 49.017 6011000
5.317 49.042 6011000
5.292 49.042 6011000
5.292 49.058 6011000
5.283 49.058 6011000
5.283 49.092 6011000
5.275 49.092 6011000
5.275 49.100 6011000
5.267 49.100 6011000
5.267 49.108 6011000
5.258 49.108 6011000
5.258 49.125 6011000
5.242 49.125 6011000
5.242 49.150 6011000
5.233 49.150 6011000
5.233 49.158 6011000
5.225 49.158 6011000
5.225 49.167 6011000
5.217 49.167 6011000
5.217 49.175 6011000
5.208 49.175 6011000
5.208 49.167 6011000
5.200 49.167 6011000
5.200 49.175 6011000
5.192 49.175 6011000
5.192 49.208 6011000
5.183 49.208 6011000
5.183 49.217 6011000
5.167 49.217 6011000
5.167 49.225 6011000
5.158 49.225 6011000
5.158 49.267 6011000
5.150 49.267 6011000
5.150 49.275 6011000
5.083 49.275 6011000
5.083 49.283 6011000
5.075 49.283 6011000
5.075 49.325 6011000
5.067 49.325 6011000
5.067 49.367 6011000
5.075 49.367 6011000
5.075 49.400 6011000
5.050 49.400 6011000
5.050 49.408 6011000
5.042 49.408 6011000
5.042 49.417 6011000
5.025 49.417 6011000
5.025 49.425 6011000
5.008 49.425 6011000
5.008 49.417 6011000
4.992 49.417 6011000
4.992 49.408 6011000
4.967 49.408 6011000
4.967 49.400 6011000
4.958 49.400 6011000
4.958 49.408 6011000
4.917 49.408 6011000
4.917 49.417 6011000
4.892 49.417 6011000
4.892 49.425 6011000
4.875 49.425 6011000
4.875 49.417 6011000
4.867 49.417 6011000
4.867 49.408 6011000
4.858 49.408 6011000
4.858 49.400 6011000
4.817 49.400 6011000
4.817 49.408 6011000
4.800 49.408 6011000
4.800 49.425 6011000
4.808 49.425 6011000
4.808 49.433 6011000
4.817 49.433 6011000
4.817 49.442 6011000
4.808 49.442 6011000
4.808 49.475 6011000
4.783 49.475 6011000
4.783 49.467 6011000
4.775 49.467 6011000
4.775 49.475 6011000
4.750 49.475 6011000
4.750 49.483 6011000
4.758 49.483 6011000
4.758 49.492 6011000
4.767 49.492 6011000
4.767 49.517 6011000
4.758 49.517 6011000
4.758 49.525 6011000
4.750 49.525 6011000
4.750 49.533 6011000
4.742 49.533 6011000
4.742 49.542 6011000
4.725 49.542 6011000
4.725 49.558 6011000
4.708 49.558 6011000
4.708 49.567 6011000
4.692 49.567 6011000
4.692 49.575 6011000
4.683 49.575 6011000
